text,insult,obscene,ideology,lgbtqphobia,racism,sexism,xenophobia
sinceramente no brasil o crime compensa o cara mata a própria filha de forma cruel e ainda está ai livre que bosta de justiça a nossa !,1,0,1,0,0,0,0
seu idiota porque você acertou ele com uma faca,1,1,0,0,0,0,0
e importante que o homem trate bem as mulheres mas não acredito que foi isso que conquistou a mulher da questão pois ela foi parando o carro e chamando pra fazer sexo .,1,1,0,0,0,1,0
que bosta ! mao em ver de vitoria pele morena,1,1,0,0,0,0,0
hindu santo par atacará boi adam bat abe hai gay mata ko kátia jaca mura hai boi adam bat abe hai beth bares hai malam for dá-lo aura sharon aro are bart a fada agrego aura mugido né unhaca chá mordi jia aba aro bichar alteie gaye aura skate hindu karen pular,1,0,0,0,0,0,0
o cara e foda sem comentários . que riqueza de detalhes . perfeito . merece o mundo .,0,1,0,0,0,0,0
pode achar seu príncipe encantado mas sempre vai acabar gorda feia virgem cheia de poster de crepusculo a parede !,1,0,0,0,0,1,0
quando anunciaram esse dinossauro dava pulo de raiva depois daquela final com o santo andre e ainda por cima com a mao no saco murcho e mostrando para nossa torcida contrataram esse lixo e agora fica se fazendo de vitima .,1,1,0,0,0,0,0
retweeet una hipócrita vis te sentis seguro por que las padiolas son mis amigos el salvadorenho venta vive .,1,0,0,0,0,0,0
primeiramente mandaria se foder porque amigo nenhum diz que outras garotas são melhores . depois e perguntar se ele realmente tem interesse e se não tiver parar de agir como se tivesse,1,1,0,0,0,1,0
esse maluco ai e asqueroso pprt e a mina e maluquinha da cabeça também,1,0,0,0,0,0,0
canalha !,1,0,0,0,0,0,0
meno burrão,1,0,0,0,0,0,0
a logica vindo a tona esta fazendo tudo que já de ruim nesse pais se mostrar . forca eles vão cair ! traidores da nação .,1,0,1,0,0,0,0
nojento filho da puta ladrão .,1,1,0,0,0,0,0
retweeet merda inferno cu boceta porra caralho,1,1,0,0,0,0,0
sexo a hoje kkk o boy do pornô arrebentando na televisão . e eu esse rabudo no amadorismo . cinturinha porem buzina apertado . mas foi uma dlc foder com ele rosto sorridente,1,1,0,0,0,0,0
pais bizarro .,1,0,1,0,0,0,1
não importa ele e velhinho e burro não sabe nem falar analfabeto . você não tem respeito pelos mais velhos ! ? vou contar ao divino,1,0,0,0,0,0,0
a mulher coitada esta carente mais culpada o vara estava na dele .,1,1,0,0,0,1,0
antigamente os lobisomens eram feras muito sanguinárias e travavam batalhas contra vampiros mais agora se uma menina vê um lobisomem ela fala nossa que estranho os lobisomens andado sem camisa en ande uma coisa a do vampiro brilha no sol caralho e sem camisa e loba e também porrraaarraaa,1,1,0,0,0,0,0
retweeet aproveitando as ferias para moldar uma personalidade para o presencial . estudioso ? faltoso ? piranha ? hiperativo ? que tal escoa .,1,0,0,0,0,0,0
a folha desde sempre apoiando a ditadura e apoiando fascistas que ate se esquece de falar sobre seus grupinhos como emprestar carros para a ditadura ir torturar pessoas . a folha golpista nunca faz uma minoria,1,1,1,0,0,0,0
não e vingativo ? kkk so e covarde .,1,1,0,0,0,0,0
ultima vez que eu pisei em tamandaré deu uma merda do caralho e eu prometi que não ia mais vir pra esse buraco ai hoje eu vim de novo e de novo deu uma merda do caralho kkk lugarzinho da porra vá se foder,1,1,0,0,0,0,1
son los aciones de combate mas modernos que ganas ineptos . ary no los miramos mis . no miramos ni un planejador corruptos,1,0,0,0,0,0,0
globo com meridianos o silencio e o que mais mata,1,0,0,0,0,0,0
tache está com inveja da melhor região do pais pia azedo ? rolando no chão de rir rolando no chão de rir rolando no chão de rir fala isso perto da gurizada pra ver o que acontece contigo bosta . o facão já está afiado melhor tu ti atiço daqui !,1,0,1,0,0,0,1
e os machos que ficavam desmerecendo ela la por ela ser negra e acima do peso vocês não ligam ?,1,0,0,0,1,0,0
bolsonaro como se sente sabendo que e um merda e foi humilhado por gente foda ? você e um bosta mott,1,1,0,0,0,0,0
oque um idiota pode fazer em . por isso minha mãe sempre me disse selecione bem suas amizades . so espero que o tal pague com a justiça pelo que ele incitou . espero que a e o da justiça façam a parte deles com a fala do abençoado ! exatamente oque o especialista disse . o nazismo pregava o arianismo . acredito que o não tenha nem se quer tenha lido o que falou . ou realmente ele e um criminoso e ele realmente cometeu diversos crimes com a fala dele que não está nem ai pra quem sofreu com o nazismo ! existe algo chamado de ética conjuntos de normas e valores que fazem o mundo dar certo . o que o não entendeu nos seus e poucos anos de vida e que se ele tem fala ou tinha e graças a essa ética que existe no mundo graças a esse conjunto de normas e valores !,1,1,1,0,0,0,0
tentando defender a anitta so para conseguir uma entrevista ? tudo que você já falou sobre especialistas vai por agua abaixo depois os tweets que fez . que vergonha,1,0,0,0,0,1,0
parabém ns cara você e foda,1,0,0,0,0,0,0
para bojo que está feio so que aparece,1,0,0,0,0,0,0
o teste de dana dela deu portuguesa caralho etc,1,1,0,0,0,0,0
se ele não tivesse respeito por uma mulher ele xingava ela agora na cara dela como muitos fazem ! parabéns,1,0,0,0,0,1,0
parabéns monarca por revelar seu caráter e opinião com palavras lindas . já que acha que tudo se pode fazer . podemos da um tiro na sua cabeça ? todos tem direito de fazer tudo certo monarca ? tenho direito de te destruir ? certo ? do brasil pois no que acredita que tudo se pode ate mesmo ser . também tem direito certo ? maior otário seu monarca .,1,0,0,0,0,0,0
vampiro que brilha no sol ? depilado a namorada do cara dormindo com outro e o falar que está feliz com isso ? como o felipe mesmo fala que porra e essa ? e ridículo . a sthephany tentou distorcer a figura do vampiro e do pra algo feminino . e isso resultou em uma história totalmente absurda . quando lançou o livro ou filme fui assistir pensando que veria um vampiro e de verdade ! decepcionei geral ao ver a distorção que ela fez .,1,0,0,0,0,1,0
você errou feio cara mas não irei te massacrar . todos nos erramos cara . segue em frente levanta a cabeça . boa sorte,1,0,0,0,0,0,0
o povo burro e esse do brasil ! invés de ficar perdendo tempo discutindo quem está certo ou errado tínhamos que focar na pandemia ! esse povo da esquerda e direita não entende que esse não e momento pra ficar brigando e fazendo manifestações ! depois pega a merda do virus vai dar trabalho pra um pai ou mãe que não pode ir pra casa direito pois tem que ficar trabalhando dobrado em hospitais ! vamos respeitar a quarentena ! parem de comer capim um pouco !,1,0,1,0,0,0,1
merda ridículo essa imposição . pior ainda utilizando se de crianças,1,1,0,0,0,0,0
so mongoloide no vip,1,0,0,0,0,0,0
chora kkk,1,0,0,0,0,0,0
esse bicho e doido .,1,0,0,0,0,0,0
tava ate indo bem ate eu ler a palavra macho . como se fosse errado ser homem . essa merda desse feminismo so apodrece mentes,1,0,1,0,0,1,0
caracas acordar assim está pior que aqui em casa kkk a cara do maluco da vontade de enfiar a mao na cara dele apesar que não estou mais pra briga ! rosto amedrontado rosto expressando desagrado rosto com boca aberta,1,0,0,0,0,0,0
retweeet auste no debe criticar a cosas si auste cambie cambio rabo que le lajens síntese major,1,1,0,0,0,0,0
que nojo dessa mulher kkk educação,1,0,0,0,0,1,0
retweeet este man si és atrevido dirce pero de fico pero se le olvida que seu messias alias aureliano és un arco genocida ary terrorista .,1,0,0,0,0,0,0
meu amigo o problema e numa puta de uma crise com um fucking virus rolando e o chamando a galera pras ruas . ? que tipo de presidente e esse ? um cara que não tem um pingo de preparo pra nada fica estressado com literalmente tudo que falam dele . ao invés dele responder as entrevistas de forma seria e consistente o cara responde eu vou te dar o furo pra jornalista .,1,1,0,0,0,0,0
desse filme de mongoloide,1,0,0,0,0,0,0
essa juiza ganhou meu respeito em kkk parabéns juiza e isso ai tem que botar e rachando mesmo nesse bandido ladrado,1,0,1,0,0,0,0
urra durar xenofóbico fodido do caralho,1,1,1,0,0,0,0
moleque ate hoje dou risada de quando ela mentiu ter pego uma mina so pra ficar por cima kkkjkkk mais pilantra que eu ? ai eu vou ter que zoar,1,1,0,0,0,0,0
a escolheu o para humilhar o . uma rosto com olho piscando ela de boa .,1,0,0,0,0,0,0
proposta ridícula . ridículo uma empresa precisar fazer isso pra conseguir cliente . galera vem pra up ! kiwi . essencial . com . brasileiro,1,0,0,0,0,0,0
epa suelto a esse mongol que ilumino a seu gente con legarmos jajajajajajajajaja jure que el chato julgaria por la o rosto chorando de rir rosto chorando de rir,1,0,0,0,0,0,0
se eu pudesse mordia meu próprio rabo rosto saboreando comida,0,1,0,0,0,0,0
lula ladrão desgraçado representa a corrupção no pais,1,0,1,0,0,0,0
esse cara nunca foi mendigo olhos olhos olhos olhos olhos olhos olhos olhos olhos olhos olhos olhos olhos olhos olhos,1,0,0,0,1,0,0
essa que disse que o e ridículo deve ser fa de crepusculo e num aguentou ouvir a verdade sobre o filme kkk,1,0,0,0,0,0,0
ser lgbt e certo para de espalhar burrice,1,0,0,1,0,0,0
faz calma agora seu arrombado fodido do caralho,1,1,0,0,0,0,0
gatinha de pinga . ladrão,1,0,0,0,0,0,0
sinto muito mas eu também assisti crepusculo gostei do filme mas tudo o que o falou e verdade não da para negar . o enredo e fraco e uma garota pateticamente sem sal mas que todo mundo e louco por ela desde o garotinho sem graça da escola ate o cara mais bonito e mais popular do colégio passando pelo amigo de infância fala serio né vamos combinar . e mais você não tem o direito de mandar ninguém calar a boca ! respeite a opinião dos outros e fique com a sua,1,0,0,0,0,0,0
deus que isso . so no saidinha criou essa merda,1,1,0,0,0,0,0
ah vai toma no cu desgraçado,1,1,0,0,0,0,0
oh burro como e que não me lembrei da loja ao lado do teatro sa da bandeira,1,0,0,0,0,0,0
ueaheuaehuheauheauhae . mano os cara ficaram puto por isso ? ah ! pelo amor de deus,1,1,0,0,0,0,0
o pais que o cachorro mija no poste enaltecer um degenerado desse e a prova viva que esse pais tem o que merece .,1,1,0,0,0,0,1
ele não faz sexo com a bela porque ele e morto então ele não tem sangue para endurecer o pinto .,1,1,0,0,0,0,0
a única visibilidade que temos em mídia e com coisas ruins como assassinatos não e nenhum privilegio isso cara so estamos tentando mudar isso e ser representados como pessoas normais casais normais e so isso . essa discussão toda por causa de um video onde mostra todas as formas de amor . e foda,1,1,0,0,0,0,0
retweeet acompanhem a hacer biscuit con mi papel de estúpida .,1,0,0,0,0,0,0
eu preciso de dinheiro de muito dinheiro . procuro trabalho mas não encontro nada a cidade esta uma merda . eu preciso fazer meus implantes autografa mas não tenho onde cair morto a faculdade de medicina mais perto daqui fica ha quilômetros e ha uma fila imensa para implantes e que também são pagos apesar de um pouco mais baratos . como eu faço para conseguir dinheiro ? puta merda .,1,1,0,0,0,0,0
e foda ver gente que provavelmente não tem nenhuma base de marketing querendo dizer que foi um erro o único erro e a nossa sociedade homofóbica mesmo,1,1,0,0,0,0,0
que bosta de comercial em puta que pariu,1,1,0,0,0,0,0
so queria ver uns peitos balançando ou uma boceta sendo masturbada . alguém se dispõe ? retribuo,0,1,0,0,0,1,0
eu lamento muito pelo que fizeram com você . eu não vejo um nazista . vejo um idealista que defende o direito de livre expressão . roubaram justamente a tua causa de vida . isso sim foi criminoso . no dia que houver liberdade de expressão pode se discutir pra transformar mentes . o nazismo sim começou a partir do momento que não se permitiu ter outras ideias a partir do que se estava estabelecido . sem você não e flow . como fazer um flow sem o sendo o ? ! ? rosto pensativo,1,0,0,0,0,0,0
eles falam como se a situação de bosta que eles fizeram fosse a mesma coisa que aconteceu agora . o scooby e muito sorrateiro e escroto to passada .,1,0,0,0,0,0,0
não estou debatendo com estou dizendo que esta sendo homofóbico e errado não sou uma criança qualquer pessoa que discorde de e uma criança ? eu acho que a única criança aqui e ou a sua mentalidade e sim eu estudo muito para ajudar meus pais mas eu realmente não ligo para o que acha eu não te conheço e não to afim de conhecer,1,1,0,1,0,0,0
que porra foi essa ?,0,1,0,0,0,0,0
e muita sai da boca delas . chega a da vontade de vomitar com esse vocabulário chulo .,1,1,0,0,0,0,0
dar o cu nenhuma,1,1,0,0,0,0,0
queria saber oque esse povo besta estão fazendo vendo esse video e pior ainda comentando . caralho deixa a menina ser feliz ela pelo menos teve coragem de mostrar coisa que muitas gostosonas so da no escuro . ela esta mostrando o corpo dele em nenhum momento do video ih ela influenciando nenhuma mulher a ser gorda parem de julgar . parabéns linda seja oque quiser gorda magra quem paga pela sua comida e .,1,0,1,0,0,1,0
retweeet que viado lindo vai se foder adorou,1,1,0,1,0,0,0
sim vendo as cagadas do king cone de festa confete homem dançando rosto festivo rolando no chão de rir,1,1,0,0,0,0,0
e estão engraçado a diferença do poder pro querer o povo fica tipo bichinha não pode eu fico tipo feliz porque eu sei que escolhi a melhor parte e isso e libertador,1,0,0,1,0,0,0
cara o so fala merda puta que pariu que cara idiota tinha que ser o jogador de minecraft,1,1,0,0,0,0,0
hay papas que no guedes costear una cinera desculpa los por arruinar tu peada egoísta,1,0,0,0,0,0,0
socorro acabei de sair do shopping pra comprar roupa com a minha mãe e senhor amado como eu to gorda gorda gorda gondola faisão nível ah com ar vou me matar fazer dieta de horas e eu também fui pro cinema comi que nem uma porca vou tentar ver me estar tudo,1,1,0,0,0,0,0
acho que na verdade ela queria era se vingar do corno . foi direto pra frente da casa dela,1,0,0,0,0,1,0
vim para deixar meu deslise alias achei ridículo,1,0,0,0,0,0,0
teve quebra pau aqui na academia . veio um cara tirar satisfações de outro porque ele ficou com a mulher dele . o corno levou um soco na cara e caiu no chão,1,0,0,0,0,0,0
me desculpem gente mulher nenhuma e feliz com esse corpo ? ela precisa de tratamento isso e uma anorexia,1,0,0,0,0,0,0
demais . cheio de mongoloide nessa porra,1,0,0,0,0,0,0
bando de pilantras filhos da,1,1,0,0,0,0,0
dc vagabunda que cancelou o selo onde tinha o maior detetive junto do batman isso mesmo o rorschach como ousa se chamar de detetive quadrinhos se agora eu não vou ter mais meu selo vertido com um bando de outro detetives meio abaulem das ideia,1,1,0,0,0,0,0
um abraco bem gay para rosto beijando com olhos fechados bandeira branca arco iris arco iris,1,0,0,1,0,0,0
moro e e mente e,1,0,0,0,0,0,0
foda parabéns felipe o melhor !,1,1,0,0,0,0,0
eramos vos ary vôo adora fuce cupido no sony estúpido lo del era único,1,0,0,0,0,0,0
so basta uma palavra da minha mãe para que eu me sinta um lixo,1,0,0,0,0,0,0
puta que pariu e muito virgem virgem virgem virgem virgem .,1,1,0,0,0,1,0
vai coloca ordem na com a dela eu hein . sabe fala . o trabalha pra ii pés fala . ontem ele tava,1,0,0,0,0,0,0
infelizmente o monark foi longe demais ele errou muito mais e hum errar mais espero que ele aprenda da pior forma uma lição de vida !,1,0,0,0,0,0,0
e romântico pra porrra com o mendigo . uma pele macia quente uma voz doce e envolvente . cara o maluco e,1,1,0,0,0,1,0
toma esse ratio seu fodido do caralho,1,0,0,0,0,0,0
foi ridículo não assisti na época mas acabei de chorar aqui kkk,1,0,0,0,0,0,0
outro retardado ? primeiro me manda uma matéria da jovem pan mentirosa . segundo toma aqui outras fontes mongoloide massa de manobra e assim não sabe verificar sozinho abc rastreava ! focus do time do ciro,1,0,1,0,0,0,0
vocês são uns porcarias . tem que ser criança .,1,0,0,0,0,0,0
anos de e o aqui nada mudo,1,0,0,0,0,0,1
que coisa mais ridícula,1,0,0,0,0,0,0
caralho se fodeu em .,1,1,0,0,0,0,0
hoje fala tudo o contrario a esse video . !,1,0,0,0,0,0,0
minha tia ligando para minha prima que disse que ia chegar em casa e está ate agora na rua cadê você sua filha da puta parece que gosta de me irritar,1,1,0,0,0,0,0
uma palhaçada are no brasil existe are . como pode alguém que pato os pais ou os filhos poder sair no dia dos pais ! quanta hipocrisia viu .,1,0,0,0,0,0,1
professor manda esse insolente estudar,1,0,0,0,0,0,0
puta que pariu eu vou usar muito,1,1,0,0,0,1,0
pior edição da fazendo kkk kkk expulso o único famoso,1,0,0,0,0,0,0
mesmo . obvio que ele não e nazista . falou uma merda e se sujou muito com isso . onde chegar vai ser taxado de nazista . aos dois . que ficou com o abo na mao pra resolver e que vai ter uma dureza pela frente .,1,0,1,0,0,0,0
retweeet esse curso é coisa de gente retardada mental vá se foder que porra,1,1,0,0,0,0,0
sim adoro um professor burrinho,1,0,0,0,0,0,0
diabólico,1,0,0,0,0,0,0
esse cara e o líder das machadinhas . juntamente com uma perfeita . o ex avaliador dele abriu a boca no trombone saiu mais sujeira do que esgoto . resumindo e mais um bandido vagabundo e oportunista metendo o pau no presidente !,1,0,1,0,0,0,0
estou falando do salles ter sido ministro do bolsonaro . de ter defendido madeireira ilegal cortando madeira nobre pra vender a preço de pinho nos quintos dos infernos . você e muito mal informado pra alguém estão seguro de que sabe de tudo .,1,0,1,0,0,0,0
eu nem falei nada so falei do roteiro que inicialmente tava uma merda os cara veio me atacar por isso eu so falei fatos,1,0,0,0,0,1,0
e pensar que eu era apaixonada por crepusculo nos meus anos hoje tenho e acho uma merda e as falas sem nexo nenhum me arrependo muito de gostar de uma porra dessas,1,0,0,0,0,0,0
nada pra fazer vou assistir ppv porque sou hipócrita,1,0,0,0,0,0,0
retweeet fez o puto gemer gostoso no chuparia,1,1,0,1,0,1,0
esse ladrão do lula e mesmo um demente e um psicopata !,1,0,1,0,0,0,0
nescau e muito e o e vacilado mas tudo ela quer resolver no grito e achar que pode peitar todo mundo isso,1,0,0,0,0,0,0
pode dar aulas pra homens escrotos .,1,0,0,0,0,1,0
ate quando o povo brasileiro vão usar a viseira de cego esse presidente e um doido quando ter um derramamento de sangue e que o povo vão ver as consequências acorda povo,1,0,1,0,0,0,0
seu filho de uma puta desgraçado . isso te ofendeu juiz ladrão ? se prepara porque vocês são bandidos e o tratamento vai ser na altura,1,1,0,0,0,0,0
ele fala bem tudo mais mas votou no bolso ti fode givanildo !,1,0,1,0,0,0,0
caralho eu so burra eu tenho o meu irmão que é tipo uma cosi sem diploma poxa henrique trancou o curso no ultimo ano isso que da ser maconheiro para me explica as coisa viva,1,0,0,0,0,0,0
você so gosta de sapatão caminheira de cabelo rapado,1,0,0,1,0,0,0
vocês não sabem o orgulho que eu tenho vendo uma menina negra virar medica . um jovem negro virando advogado . me da vontade sair na rua e ir pra estrada pagar promessa .,1,0,0,0,1,1,0
cambio la fortaleza de un psicopata narcisista mulher dando de ombros pele clara,1,0,0,0,0,0,0
e um crime horroroso não aceitar que esta e a realidade hoje em dia crianças gays são mais comuns do que pensa e uma maldade imensurável pessoas idiotas querendo esconder o preconceito culpando outro alguém que esta de fato querendo ajudar vocês adustos comentando merda nesse anuncio me dão vergonha ! sinceramente .,1,0,1,0,0,0,0
certíssima porrra e demais mach metidinho da fazenda estão roubando de metidinho,1,1,0,0,0,0,0
essa galera de pode tem que chamar entrevistado oreia igual eles pra parar de passar vergonha rosto chorando de rir rosto chorando de rir rosto chorando de rir rosto chorando de rir,1,0,0,0,0,0,0
um dedo quente nesse cu gelado kkk,1,1,0,0,0,0,0
mulher folgada eu mandava tnc e não levantava,1,1,0,0,0,0,0
você já parou pra pensar que a mulher sentiu atração por ele e o chifrudo do marido mandou essa de surto pra não ser o cornado ? de repente a mulher cansou do homem e realmente surtou pra mostrar que e livre mas tava consciente ? o mendigo devia está na seca também,1,0,0,0,0,1,0
não entendo porque não aceitam logo que o vai ganhar . e foda mas enfim . kkk,1,1,0,0,0,0,0
tava na hora de alguém divulgar os pontos negativos de crepusculo ! apesar de não ter pontos positivos nessa merda mas enfim .,1,0,0,0,0,0,0
retweeet na moral so tem mongoloide na minha escola,1,0,0,0,0,0,0
o seu erro . foi ter deixado o falar sem repreender ele . sendo assim impossível seguir este canal . errou feio !,1,0,0,0,0,0,0
fodeu para,1,1,0,0,0,0,0
de cair o cu da bunda,1,1,0,0,0,0,0
de vampiro gay,1,0,0,1,0,0,0
os caras do xbox mil grau deve estar rindo . drogas comeram o cérebro do monark que e um cara que tem insight de genialidade e bestialidade . fico triste nem sei o que vai ser do flow sem monark .,1,0,0,0,0,0,0
so te levou pro buraco igor que bom que pode se levantar e seguir seu caminho daqui pra frente . pelo monark so lamento ele continua achando que so se expressou mal que entenderam errado que estava bêbado . nem no fundo do pouco consegue entender a merda que fez .,1,1,0,0,0,0,0
tocou o berrante ai os gados cegos vieram em meio da pandemia no meio da aglomeração endeusar seu mestre ai se aumentar a quarentena e o numero de mortos por causa da pandemia já sabemos quem são os culpados inclusive o próprio presidente da republica,1,1,1,0,0,0,0
retweeet plantamos um bando de canalhas ! agora pagamos o preço !,1,0,0,0,0,0,0
ele está certo deixa a maluca gritar com ele ele fica calado fingindo que não está ouvindo porque uma pessoa que discute com louco e louco também campeão ele calado mito aceitem,1,0,0,0,0,0,0
a falsidade começa no aperto de mao fi sinto de longe por isso sou foda-se para muita coisa mao em ver de vitoria pele clara,1,0,0,0,0,0,0
da vigarice comunais esquerda se fodeu já era intervenção militar já nos dois poderes legislativo e judiciário,1,0,1,0,0,0,0
muda o conteúdo cara não cai na terapeuta novo por favor volta com as tutoriais ou vídeos não se envolve em tretas por favor mas não desiste a gente gosta de você muito mas para com isso monark,1,0,0,0,0,0,0
retweeet ! hipócrita ! major sensualmente callado idiota .,1,0,0,0,0,0,0
tudo bem nossa mãe gritar com nos e nos ficar quieto porque e mãe . também não ia gostar alguém gritando na sua cabeça e falar nada,1,1,0,0,0,0,0
mas eu não falei dele falo dos doentes ué saem de casa para apoiar presidente tem lembrar não tem babar ovo de presidente já ele e ué tem ser funcionário da nação,1,0,1,0,0,0,1
o caso não e o e o sistema que e podre e tem que ser exterminado para que tenhamos eleições limpas como tem que ser a segurança para ele a nação esta nas mãos dos corruptos e oportunistas se alguém incomoda simplesmente eliminam como ter eleições com toda essa sujeira,1,1,0,0,0,0,0
tudo que vem da globo e lixo,1,0,0,0,0,0,0
essa bojo so com esse biela ele e bobo mas as vezes não vale a pena responder etc uma hora acha um pra enfrentar ela rosto chorando de rir rosto chorando de rir rosto chorando de rir,1,0,0,0,0,0,0
coloca logo essa mal educada na cadeia,1,0,0,0,0,0,0
deixa de ser calhorda seu safado,1,1,0,0,0,0,0
? passa essa bosta ainda ?,1,1,0,0,0,0,0
to louca para ver ele em budget por isso vi que o personagem é meio canalha né veremos,1,0,0,0,0,1,0
foi querer lacrar igual faz com o uso da maconha e se deu mal . o cara tem argumentos de merda .,1,1,0,0,0,0,0
kk a e uma virgem tem menos de anos so porque está na moda gosta de crepusculo essas mina estão ate se matando so pra fica popular . te te,1,0,0,0,0,1,0
meu esse cara e um doente . e um ator e esta se vingado do esposo falando detalhes da relação que teve essa pobre mulher . não conseguiu me convencer com esse teatro . se ele fosse um homem de caráter não ficaria com esse discurso . e .,1,0,0,0,0,1,0
kkk eu espero que esse lula ganhe e termine de acaba com brasil e so o que vocês merece mesmo vou esta de camarote assistindo a merda que vocês fez,1,0,1,0,0,0,1
eu so me fodo nesse inferno quem disse que eu quero viver,1,0,0,0,0,0,0
ladrão filho de uma puta,1,0,1,0,0,0,0
lixo de marketing .,1,1,0,0,0,0,0
e muito mais fácil e cômodo descer a porrada no cara agora ! o cara falou merda ! fato reconheceu se foi por que quis ou porque precisou depois ele se entende com a consciência dele ! mas assim como nos ele precisa de ajuda ! a cachaça tem que parar pagando um preço altíssimo agora e a maconha cu . mas e a vida dele não vou concordar com muitas coisas mas não posso atacar o mano também ! cu o cu cu que o cu se esfriara eu já penso que chegou ! hahaha não estou defendendo a fala dele ou ele so estou dizendo que podemos agir melhor como ouvintes fãs do programa e humano ! e mao em ver de vitoria salive salive rosto com olho piscando,1,1,0,0,0,0,0
e um idiota útil . destruiu a hipocrisia e a bolha do monark,1,1,0,0,0,0,0
esse mike merece mil tiros no meio do cu dele filho da puta filho da puta propp,1,1,0,0,0,1,0
que sucede la gente hipócrita,1,0,0,0,0,0,0
crepusculo e uma bosta !,1,0,0,0,0,0,0
putinha dos eua ultrapassa todos os limites do bom senso,1,0,0,0,0,1,0
ele viajou na moral ! rolando no chão de rir chamas e merda kkk,1,0,0,0,0,0,0
e a europa como sempre sendo inútil não conseguindo ser autossuficiente e sempre nos que pagamos a conta e depois querem falar dos países emergentes pilantras,0,0,0,0,0,0,1
dedo quente nesse cu gelado kkk rachei,1,1,0,0,0,0,0
a stephanie é uma escritora horrorosa com descrições infantis personagens sem nenhum atrativo ela simplesmente não teve base nenhuma no que ela criou . e saga ? que ? saga entende se pela literatura como um conto épico onde o destino de muitas pessoas esta em jogo como o ultimo samurai star wars e senhor dos anéis . suas crepusculares,1,1,0,0,0,0,0
a verdade e que o não vai sair ele vai continuar ganhando dinheiro com o programa so que ele não vai apresentar mais . e quem que vai sair de forma definitiva . o povo leigo da,1,0,1,0,0,0,0
já ! não tem um negro !,1,0,0,0,1,0,0
o que esta no limite e a capacidade do meu saco com o bozó . o que estão esperando para impedir esse louco ? . entre a falência da globo e o impeachment do bozó eu cravo a coluna dois . fora bozó !,1,0,1,0,0,0,0
a cara de canalha aqui,1,0,0,0,0,0,0
gays rosto aborrecido fez o mundo pra os homens casarem com mulheres e vice versa .,0,0,1,1,0,0,0
nos e muito bom pra quem não merece porra nenhuma polegar para baixo,1,1,0,0,0,0,0
de donde corno eres el famoso per per abafadas ? rosto com olhos em espiral rosto com olhos em espiral rosto com olhos em espiral rosto com olhos em espiral,1,0,0,0,0,0,0
eu odeio seu canal o video da fada ou que seria inço minutos e melhor,1,0,0,0,0,0,0
isso e um desrespeito para nos brasileiros não sei quem inventou isso e ridículo tinha que ter cadeia perpetua já que não querem pena de morte,1,0,1,0,0,0,0
o cara realmente era muito fraco e o despreparo derrubou ele so falava merda,1,0,0,0,0,0,0
maldito sea el dia que elegi el cole en donde estoca orientação en programacionnn dedos comprimidos pele morena clara dedos comprimidos pele morena clara dedos comprimidos pele morena clara dedos comprimidos pele morena clara dedos comprimidos pele morena clara,1,0,0,0,0,0,0
o cara e mendigo e votou e vai votar novamente em bolsonaro ? toda essa inteligência dele foi anulada kkk,1,0,1,0,0,0,0
